"decimalLongitude","decimalLatitude","rep3"
-89.75,19.96,261
-86.84,21.16,255
-90.51667,19.85,264
-89.73,19.07,253
-89.46,20.73,260
-86.92,20.83,257
-87.78,19.75,260
-88.043333,19.575,259
-86.91,20.56,261
-90.21,20.06,269
-90.2,20.86,263
-89.56,21.22,255
-89.73,19.07,253
-89.62,20.97667,258
-89.73,19.07,253
-88.44,20.62,257
-88.52667,20.65,257
-87.02,20.3,261
-87.78,19.75,260
-90.683333,19.6,260
-86.915,20.445,261
-87.78,19.75,260
-87.6,20.87,252
-88.35,18.75,258
-86.915,20.445,261
-88.51,20.66,257
-86.915,20.445,261
-90.28,18.6,260
-90.27,18.64167,260
-86.898333,20.8675,257
-86.88333,20.85,257
-89.57,21.24,255
-88.51,20.66,257
-89.64,21.28,255
-86.898333,20.8675,257
-88.44,20.62,257
-86.88333,20.85,257
-89.64,21.28,255
-89.62,20.97667,258
-89.64,21.28,255
-87.78,19.75,260
-86.915,20.445,261
-89.57,21.24,255
-90.72,19.35,258
-89.73,19.07,253
-88.04333,19.575,259
-86.99722,20.36889,260
-88.46167,18.81333,257
-87.73667,20.48667,256
-86.91,20.56,261
-88.783333,18.416667,252
-86.94667,20.50833,260
-88.39167,18.495,256
-89.16667,19.18667,256
-89.46,20.73,260
-90.525,19.84167,264
-90.28,18.6,260
-88.59,20.7,259
-89.73,19.07,253
-90.28,18.6,260
-87.12,21.03,254
-86.915,20.445,261
-89.64,21.1,256
-88.5,20.64,257
-90.2,20.86,263
-88.04333,19.575,259
-87.46833,20.89333,253
-87.58,20.35,257
-86.808333,21.258333,255
-88.575,20.691667,258
-89.475,20.475,259
-88.825,20.708333,261
-90.060136,20.538768,267
-89.475,20.475,259
-88.758333,20.708333,260
-86.925,20.525,260
-87.608333,20.875,252
-88.575,20.691667,258
-86.875,20.841667,257
-87.608333,20.875,252
-87.608333,20.875,252
-88.758333,20.708333,260
-88.691667,20.691667,259
-86.808333,21.258333,255
-87.608333,20.875,252
-88.575,20.691667,258
-88.758333,20.708333,260
-86.925,20.525,260
-88.075,21.175,253
-86.925,20.525,260
-87.608333,20.875,252
-89.425,18.525,246
-87.608333,20.875,252
-87.308333,20.908333,254
-88.575,20.691667,258
-88.758333,20.708333,260
-88.575,20.691667,258
-89.575,21.041667,257
-88.758333,20.708333,260
-88.825,20.708333,261
-86.925,20.525,260
-88.758333,20.708333,260
-87.478227,20.263027,258
-88.758333,20.708333,260
-88.575,20.691667,258
-87.608333,20.875,252
-88.575,20.691667,258
-88.575,20.691667,258
-88.758333,20.708333,260
-88.758333,20.708333,260
-88.575,20.691667,258
-90.725,19.358333,258
-90.258333,19.675,264
-88.758333,20.708333,260
-87.608333,20.875,252
-89.775,20.391667,263
-88.758333,20.708333,260
-88.575,20.691667,258
-90.194444,20.86,263
-87.608333,20.875,252
-89.264539,21.296531,256
-88.075278,19.391111,259
-89.623214,20.866869,259
-86.925,20.525,260
-88.027186,19.452266,259
-87.608333,20.875,252
-87.308333,20.908333,254
-88.575,20.691667,258
-89.758333,19.408333,257
-88.758333,20.708333,260
-87.196307,20.525428,259
-86.808333,21.258333,255
-89.371593,18.791541,247
-88.758333,20.708333,260
-88.575,20.691667,258
-87.102324,20.616035,258
-87.358333,18.591667,264
-87.74417,20.802715,253
-87.608333,20.875,252
-88.575,20.691667,258
-86.925,20.525,260
-87.308333,20.908333,254
-89.795,18.121389,251
-87.175787,21.199141,253
-88.758333,20.708333,260
-88.305278,18.503611,259
-89.7475,18.193056,247
-87.725,20.841667,252
-86.925,20.525,260
-88.758333,20.708333,260
-87.608333,20.875,252
-87.608333,20.875,252
-88.102414,19.101477,259
-88.758333,20.708333,260
-88.342667,18.760242,257
-90.300833,20.521944,268
-87.608333,20.875,252
-88.305278,18.503611,259
-88.632171,19.677338,259
-87.441667,20.208333,259
-87.608333,20.875,252
-88.326667,18.518056,259
-88.575,20.691667,258
-87.308333,20.908333,254
-87.608333,20.875,252
-87.608333,20.875,252
-87.253023,20.485565,258
-88.825,20.708333,261
-88.275,20.608333,254
-88.758333,20.708333,260
-87.443428,21.227937,251
-89.575,21.041667,257
-89.070548,18.465868,252
-86.925,20.525,260
-88.758333,20.708333,260
-88.575,20.691667,258
-88.575,20.691667,258
-89.575,21.041667,257
-86.925,20.525,260
-89.541667,20.408333,259
-87.725,20.841667,252
-88.575,20.691667,258
-90.008333,21.175,258
-86.925,20.525,260
-88.758333,20.708333,260
-88.758333,20.708333,260
-88.041667,19.591667,259
-90.741667,18.625,260
-89.143158,18.472037,251
-89.475,20.475,259
-87.608333,20.875,252
-88.575,20.691667,258
-90.005402,19.702279,261
-89.775,20.391667,263
-87.608333,20.875,252
-88.342667,18.760242,257
-87.608333,20.875,252
-90.300833,20.521944,268
-89.475,20.475,259
-89.271938,21.202623,257
-89.575,21.041667,257
-88.095877,19.278675,259
-88.575,20.691667,258
-87.441667,20.208333,259
-88.041667,19.591667,259
-87.608333,20.875,252
-89.298056,18.752222,249
-86.808333,21.258333,255
-87.608333,20.875,252
-88.584335,20.717699,259
-88.758333,20.708333,260
-90.725,19.358333,258
-89.041667,20.808333,261
-88.189156,18.942131,258
-88.097249,19.261537,259
-89.041667,20.808333,261
-86.883868,20.430048,261
-86.876944,20.475833,261
-89.745556,18.184167,247
-88.758333,20.708333,260
-90.725,19.358333,258
-88.375,18.725,257
-89.475,20.475,259
-88.758333,20.708333,260
-88.758333,20.708333,260
-89.675,21.291667,255
-87.608333,20.875,252
-88.758333,20.708333,260
-88.28414,18.829947,258
-88.758333,20.708333,260
-88.758333,20.708333,260
-88.825,20.708333,261
-88.575,20.691667,258
-88.758333,20.708333,260
-86.875,20.841667,257
-87.608333,20.875,252
-87.608333,20.875,252
-88.575,20.691667,258
-88.758333,20.708333,260
-87.608333,20.875,252
-88.758333,20.708333,260
-88.825,20.708333,261
-90.454728,20.692076,266
-88.758333,20.708333,260
-88.758333,20.708333,260
-90.375,18.925,257
-87.608333,20.875,252
-86.968049,20.494666,261
-87.608333,20.875,252
-89.575,21.041667,257
-86.808333,21.258333,255
-88.825,20.708333,261
-87.625,21.491667,252
-89.425,20.308333,257
-88.758333,20.708333,260
-89.041667,20.808333,261
-88.575,20.691667,258
-88.575,20.691667,258
-88.075,21.175,253
-88.758333,20.708333,260
-86.825,21.175,255
-88.575,20.691667,258
-88.275,20.608333,254
-89.475,20.475,259
-87.308333,20.908333,254
-86.808333,21.258333,255
-88.758333,20.708333,260
-89.621294,21.103757,256
-89.7475,18.193056,247
-87.591667,20.575,255
-88.246667,18.554444,260
-88.758333,20.708333,260
-89.575,21.041667,257
-88.758333,20.708333,260
-87.497968,20.887177,253
-89.7475,18.193056,247
-87.608333,20.875,252
-88.308333,18.508333,259
-89.408889,18.650556,245
-88.275,20.608333,254
-89.441667,18.375833,247
-90.300833,20.521944,268
-87.725,20.841667,252
-88.147604,19.476294,259
-89.805833,18.110278,251
-88.758333,20.708333,260
-88.758333,20.708333,260
-87.725,20.841667,252
-88.758333,20.708333,260
-87.600273,20.371939,256
-89.148764,20.8271,261
-90.300833,20.521944,268
-89.925,20.575,264
-87.717247,20.509425,255
-88.575,20.691667,258
-89.475,20.475,259
-88.758333,20.708333,260
-87.308333,20.425,258
-86.944523,21.182803,254
-88.758333,20.708333,260
-89.598717,20.832604,259
-88.758333,20.708333,260
-87.860675,19.839865,259
-88.758333,20.708333,260
-87.608333,20.875,252
-88.758333,20.708333,260
-89.925,20.975,260
-89.409529,18.575883,246
-89.275,21.358333,256
-88.575,20.691667,258
-87.466012,20.199445,259
-88.758333,20.708333,260
-88.575,20.691667,258
-88.92135,19.710095,259
-88.758333,20.708333,260
-88.758333,20.708333,260
-87.608333,20.875,252
-86.925,20.525,260
-89.608333,20.425,260
-88.575,20.691667,258
-89.925,20.575,264
-88.758333,20.708333,260
-86.925,20.525,260
-88.758333,20.708333,260
-88.575,20.691667,258
-88.758333,20.708333,260
-86.775,21.091667,256
-88.758333,20.708333,260
-89.805833,18.110278,251
-89.775,20.391667,263
-88.275,20.608333,254
-88.758333,20.708333,260
-90.300833,20.521944,268
-89.775,20.391667,263
-88.758333,20.708333,260
-88.758333,20.708333,260
-88.575,20.691667,258
-88.740804,19.786073,260
-89.925,20.575,264
-87.946605,19.703032,259
-87.608333,20.875,252
-88.441667,20.841667,256
-89.023037,20.793476,262
-89.925,20.575,264
-87.608333,20.875,252
-87.608333,20.875,252
-88.758333,20.708333,260
-88.18942,20.911724,254
-88.575,20.691667,258
-88.577511,21.466581,257
-89.575,21.041667,257
-86.925,20.525,260
-89.24126,18.586677,248
-87.725,20.841667,252
-87.7561,19.6089,260
-88.758333,20.708333,260
-88.147316,19.863384,259
-90.558333,18.475,260
-87.759844,18.460433,264
-88.708333,18.191667,252
-88.575,20.691667,258
-89.608333,20.425,260
-88.758333,20.708333,260
-88.166529,21.284474,254
-89.591667,21.025,257
-87.608333,20.875,252
-88.758333,20.708333,260
-89.963704,18.543521,254
-88.758333,20.708333,260
-87.608333,20.875,252
-90.300833,20.521944,268
-87.075,20.625,259
-88.758333,20.708333,260
-86.941302,20.517101,260
-88.575,20.691667,258
-87.595704,20.741037,253
-87.717247,20.509425,255
-90.958333,18.491667,262
-88.825,20.708333,261
-88.758333,20.708333,260
-89.542422,21.045929,257
-87.608333,20.875,252
-88.255932,20.278854,258
-88.758333,20.708333,260
-88.192222,18.773889,259
-88.384722,18.703333,258
-88.342667,18.760242,257
-89.041667,20.808333,261
-88.575,20.691667,258
-89.408889,18.650556,245
-88.575,20.691667,258
-88.758333,20.708333,260
-88.154611,21.556142,254
-89.575,21.041667,257
-88.758333,20.708333,260
-88.168055,21.192145,254
-90.300833,20.521944,268
-88.23346,21.56583,255
-86.925,20.525,260
-89.775,20.391667,263
-89.475,20.475,259
-87.608333,20.875,252
-88.708333,18.191667,252
-87.018726,20.377034,260
-88.758333,20.708333,260
-87.032405,20.377371,260
-88.60877,21.173354,258
-88.825,20.708333,261
-87.66788,20.447369,256
-89.395278,18.731389,247
-86.925,20.525,260
-88.275,20.608333,254
-88.758333,20.708333,260
-89.464552,20.2108,258
-88.575,20.691667,258
-88.758333,20.708333,260
-90.741667,18.625,260
-87.591667,20.575,255
-88.342667,18.760242,257
-90.741667,18.625,260
-88.691667,20.691667,259
-90.858333,18.975,261
-88.758333,20.708333,260
-87.608333,20.875,252
-89.986641,21.108246,258
-89.096437,18.466068,251
-86.800469,20.558785,261
-88.758333,20.708333,260
-88.51541,21.429941,256
